Índice,Descripcion,Latitud,Longitud,Observatorio,Vs30
0,ALMA_1,-23.0844,-67.7563,ALMA,358.1142529921756
1,ALMA_10,-23.09761,-67.77703,ALMA,372.11387604880247
2,ALMA_11,-23.1254,-67.94941,ALMA,359.1796017542886
3,ALMA_12,-23.1254,-67.8386,ALMA,611.3943519727395
4,ALMA_13,-22.97363,-67.8154,ALMA,358.96449624114854
5,ALMA_14,-23.02604,-67.74437,ALMA,374.57164065309195
6,ALMA_15,-23.12796,-67.82441,ALMA,358.2398470214562
7,ALMA_16,-23.08117,-67.806,ALMA,488.9615456540335
8,ALMA_17,-23.13965,-67.83611,ALMA,358.3203996162821
9,ALMA_18,-23.15693,-67.83011,ALMA,358.78686373804163
10,ALMA_19,-23.13029,-67.81908,ALMA,358.81709822107
11,ALMA_2,-23.08152,-67.75913,ALMA,548.8110459504063
12,ALMA_20,-22.99574,-67.78316,ALMA,358.5749484716608
13,ALMA_21,-23.04134,-67.94017,ALMA,412.4378832992663
14,ALMA_22,-22.99767,-67.88779,ALMA,359.815342242571
15,ALMA_23,-22.94986,-67.9633,ALMA,431.78842458640094
16,ALMA_24,-22.974,-67.73865,ALMA,358.81860460315835
17,ALMA_25,-23.17029,-67.88515,ALMA,581.8932388723816
18,ALMA_26,-23.16507,-67.89879,ALMA,358.9337703773901
19,ALMA_27,-23.1344,-68.01138,ALMA,453.9219089213113
20,ALMA_28,-23.0269,-67.87766,ALMA,358.6832548830372
21,ALMA_29,-23.10769,-67.94185,ALMA,358.0613916177319
22,ALMA_3,-23.07818,-67.73329,ALMA,592.4651174040049
23,ALMA_30,-23.1335,-67.81199,ALMA,450.53606242157514
24,ALMA_31,-22.99337,-67.88831,ALMA,358.5501970987356
25,ALMA_32,-23.03192,-67.95645,ALMA,644.9405028562887
26,ALMA_33,-23.05679,-67.74147,ALMA,359.2221642261804
27,ALMA_34,-23.00287,-67.7378,ALMA,512.7122998867898
28,ALMA_35,-23.06904,-67.82027,ALMA,657.0782569889323
29,ALMA_36,-23.15003,-67.7964,ALMA,543.0419657183286
30,ALMA_37,-23.1636,-67.88164,ALMA,359.3030456799696
31,ALMA_38,-23.09465,-67.7806,ALMA,370.064762406741
32,ALMA_39,-22.97819,-67.72995,ALMA,509.91281867333134
33,ALMA_4,-23.02305,-67.99128,ALMA,587.3985701644804
34,ALMA_40,-23.13491,-67.80692,ALMA,448.9399734427851
35,ALMA_41,-23.10552,-67.77962,ALMA,359.47322023376233
36,ALMA_42,-23.07704,-67.77773,ALMA,532.8214222856857
37,ALMA_43,-23.11678,-67.73355,ALMA,358.54479006291683
38,ALMA_44,-22.98447,-67.74252,ALMA,549.466718334906
39,ALMA_45,-22.98299,-67.86255,ALMA,689.8250377521675
40,ALMA_46,-23.16713,-67.99195,ALMA,450.88041690409835
41,ALMA_47,-23.0905,-67.93087,ALMA,358.73397854584823
42,ALMA_48,-23.1413,-67.94499,ALMA,358.3563256155471
43,ALMA_49,-22.97497,-67.8507,ALMA,359.32934982431857
44,ALMA_5,-23.09521,-67.80363,ALMA,358.57190143315114
45,ALMA_50,-23.18255,-68.01873,ALMA,393.3091759530888
46,ALMA_51,-23.00047,-67.97944,ALMA,358.94295847074653
47,ALMA_52,-23.12662,-67.76327,ALMA,566.3015523357486
48,ALMA_53,-22.96602,-67.94689,ALMA,464.7506007589652
49,ALMA_54,-23.12661,-67.78273,ALMA,420.55734632053156
50,ALMA_55,-23.1444,-67.71717,ALMA,358.09524050155784
51,ALMA_56,-23.01086,-67.72345,ALMA,484.82351800636627
52,ALMA_57,-23.12559,-67.92766,ALMA,653.1134854860887
53,ALMA_58,-22.98155,-67.97524,ALMA,558.6883396291165
54,ALMA_59,-22.96019,-67.89417,ALMA,453.32071527422295
55,ALMA_6,-23.09685,-67.7283,ALMA,699.3394902903369
56,ALMA_60,-23.02918,-67.92357,ALMA,359.7063578696468
57,ALMA_61,-23.04088,-67.85702,ALMA,359.035986047317
58,ALMA_62,-23.13299,-67.72141,ALMA,570.5029625804382
59,ALMA_63,-23.0091,-67.83319,ALMA,358.12307156728434
60,ALMA_64,-23.14013,-67.9395,ALMA,410.4858758473653
61,ALMA_65,-23.11639,-67.8446,ALMA,538.0614857042607
62,ALMA_66,-23.17815,-67.77904,ALMA,359.78398869210525
63,ALMA_7,-22.97958,-67.76479,ALMA,693.4998210393992
64,ALMA_8,-23.12014,-67.96728,ALMA,359.86522622296985
65,ALMA_9,-23.01353,-67.80658,ALMA,428.9833248517601
66,CERRO_ARMAZONES_1,-24.5894,-70.2006,CERRO ARMAZONES,359.9053503695723
67,CERRO_ARMAZONES_2,-24.5978,-70.2049,CERRO ARMAZONES,437.5824231163732
68,CERRO_ARMAZONES_3,-24.595,-70.1996,CERRO ARMAZONES,423.9392569039949
69,CERRO_ARMAZONES_4,-24.5916,-70.1958,CERRO ARMAZONES,594.2113939127681
70,CERRO_ARMAZONES_5,-24.591,-70.1947,CERRO ARMAZONES,617.6661788982801
71,CERRO_ARMAZONES_6,-24.592,-70.209,CERRO ARMAZONES,652.0637226770651
72,GEMINI_SUR,-30.2405,-70.7387,GEMINI SUR,533.2744791784703
73,INTERAMERICANO_DE_CERRO_TOLOLO_1,-30.1689,-70.8085,INTERAMERICANO DE CERRO TOLOLO,359.0433818532485
74,INTERAMERICANO_DE_CERRO_TOLOLO_2,-30.1696,-70.8066,INTERAMERICANO DE CERRO TOLOLO,359.892962256922
75,INTERAMERICANO_DE_CERRO_TOLOLO_3,-30.1689,-70.8085,INTERAMERICANO DE CERRO TOLOLO,396.0105097572352
76,INTERAMERICANO_DE_CERRO_TOLOLO_4,-30.1687,-70.8026,INTERAMERICANO DE CERRO TOLOLO,359.60354668524184
77,INTERAMERICANO_DE_CERRO_TOLOLO_5,-30.1672,-70.85798,INTERAMERICANO DE CERRO TOLOLO,635.4764396929575
78,LA_SILLA_1,-29.2562,-70.7402,LA SILLA,358.4430992883
79,LA_SILLA_2,-29.2561,-70.7398,LA SILLA,470.3609900489824
80,LA_SILLA_3,-29.2549,-70.7395,LA SILLA,358.06530584703694
81,LAS_CAMPANAS_1,-29.0151,-70.6918,LAS CAMPANAS,469.1512776385046
82,LAS_CAMPANAS_2,-29.0173,-70.6952,LAS CAMPANAS,358.9711048360838
83,LAS_CAMPANAS_3,-29.0181,-70.6936,LAS CAMPANAS,423.28010424414987
84,LAS_CAMPANAS_4,-29.0174,-70.6927,LAS CAMPANAS,419.7849367803895
85,PARANAL_1,-24.5273,-70.4065,PARANAL,529.6483449988274
86,PARANAL_10,-24.628,-70.4049,PARANAL,559.1550980099411
87,PARANAL_2,-24.6271,-70.4051,PARANAL,677.5498231363144
88,PARANAL_3,-24.627,-70.4045,PARANAL,359.7909004314745
89,PARANAL_4,-24.6271,-70.4048,PARANAL,518.7052260751457
90,PARANAL_5,-24.6273,-70.405,PARANAL,610.7553615718542
91,PARANAL_6,-24.6268,-70.4054,PARANAL,358.33689278981166
92,PARANAL_7,-24.6272,-70.4049,PARANAL,477.6892349101366
93,PARANAL_8,-24.6272,-70.4066,PARANAL,381.88233707750214
94,PARANAL_9,-24.6273,-70.4048,PARANAL,488.64038683606816
95,SOAR,-30.2378,-70.7358,SOAR,524.0784613464314
